participant_id,video_id,gaze_x,gaze_y,timestamp,video_time
sadsa;l,kisi4video2,606.86,309.1,223437.027,5.368
sadsa;l,kisi4video2,619.62,310.19,223437.06,5.401
sadsa;l,kisi4video2,629.21,311.83,223437.093,5.435
sadsa;l,kisi4video2,640.02,309.64,223437.16,5.485
sadsa;l,kisi4video2,651.34,312.93,223437.193,5.518
sadsa;l,kisi1video3,420.44,159.74,223439.625,0.033
sadsa;l,kisi1video3,414.19,157.42,223439.658,0.067
sadsa;l,kisi1video3,583.83,215.07,223439.691,0.101
sadsa;l,kisi1video3,544.05,198.33,223439.725,0.134
sadsa;l,kisi1video3,579.9,212.66,223439.758,0.184
sadsa;l,kisi1video3,626.03,230.03,223439.825,0.234
sadsa;l,kisi1video3,626.87,235.82,223439.858,0.267
sadsa;l,kisi1video3,661.58,271.02,223439.891,0.317
sadsa;l,kisi1video3,591.53,277.32,223439.958,0.367
sadsa;l,kisi1video3,601.54,279.51,223439.992,0.418
sadsa;l,kisi1video3,606.79,282.81,223440.057,0.467
sadsa;l,kisi1video3,622.2,283.02,223440.092,0.517
sadsa;l,kisi1video3,615.54,282.17,223440.158,0.567
sadsa;l,kisi1video3,614.34,281.55,223440.191,0.617
sadsa;l,kisi1video3,614.18,280.21,223440.258,0.667
sadsa;l,kisi1video3,614.18,280.21,223440.258,0.701
sadsa;l,kisi1video3,614.18,280.21,223440.258,0.75
sadsa;l,kisi1video3,614.18,280.21,223440.258,0.784
sadsa;l,kisi1video3,614.91,278.79,223440.425,0.834
sadsa;l,kisi1video3,618.96,278.36,223440.457,0.883
sadsa;l,kisi1video3,610.21,274.47,223440.525,0.934
sadsa;l,kisi1video3,613.17,274.19,223440.558,0.984
sadsa;l,kisi1video3,615.62,273.83,223440.591,1.017
sadsa;l,kisi1video3,601.63,268.42,223440.658,1.067
sadsa;l,kisi1video3,602.93,267.96,223440.691,1.117
sadsa;l,kisi1video3,589.66,263.89,223440.758,1.167
sadsa;l,kisi1video3,582.54,262.02,223440.791,1.217
sadsa;l,kisi1video3,575.46,260.28,223440.825,1.251
sadsa;l,kisi1video3,570.08,257.96,223440.891,1.3
sadsa;l,kisi1video3,565.37,256.5,223440.924,1.35
sadsa;l,kisi1video3,552.06,253.18,223440.991,1.4
sadsa;l,kisi1video3,547.73,252.2,223441.024,1.45
sadsa;l,kisi1video3,541.54,250.45,223441.091,1.5
sadsa;l,kisi1video3,539.87,249.84,223441.124,1.534
sadsa;l,kisi1video3,538.75,249.39,223441.157,1.567
sadsa;l,kisi1video3,536.46,248.96,223441.191,1.601
sadsa;l,kisi1video3,535.73,248.73,223441.224,1.634
sadsa;l,kisi1video3,534.58,248.68,223441.258,1.667
sadsa;l,kisi1video3,531.54,248.66,223441.291,1.718
sadsa;l,kisi1video3,531.08,249.69,223441.357,1.767
sadsa;l,kisi1video3,529.88,250.15,223441.391,1.817
sadsa;l,kisi1video3,529.88,250.15,223441.391,1.851
sadsa;l,kisi1video3,529.88,250.15,223441.391,1.901
sadsa;l,kisi1video3,529.88,250.15,223441.391,1.934
sadsa;l,kisi1video3,527.85,250.72,223441.557,1.968
sadsa;l,kisi1video3,529.67,252.08,223441.59,2.017
sadsa;l,kisi1video3,534.85,253.51,223441.624,2.051
sadsa;l,kisi1video3,534.08,254.5,223441.691,2.1
sadsa;l,kisi1video3,534.08,254.5,223441.691,2.134
sadsa;l,kisi1video3,534.08,254.5,223441.691,2.184
sadsa;l,kisi1video3,536.87,255.92,223441.825,2.251
sadsa;l,kisi1video3,536.37,258.02,223441.89,2.3
sadsa;l,kisi1video3,542.1,260.02,223441.923,2.351
sadsa;l,kisi1video3,544.19,262.71,223441.99,2.401
sadsa;l,kisi1video3,545.64,264.09,223442.023,2.451
sadsa;l,kisi1video3,555.02,268.03,223442.09,2.501
sadsa;l,kisi1video3,559.89,270.09,223442.123,2.534
sadsa;l,kisi1video3,561.63,271.54,223442.156,2.584
sadsa;l,kisi1video3,571.88,275.78,223442.224,2.634
sadsa;l,kisi1video3,576.76,277.69,223442.256,2.667
sadsa;l,kisi1video3,579.49,279.2,223442.289,2.717
sadsa;l,kisi1video3,584.58,282.04,223442.357,2.767
sadsa;l,kisi1video3,587.58,283.37,223442.389,2.817
sadsa;l,kisi1video3,589.91,284.58,223442.423,2.851
sadsa;l,kisi1video3,594.58,286.59,223442.489,2.901
sadsa;l,kisi1video3,597.71,287.49,223442.523,2.951
sadsa;l,kisi1video3,601.53,288.83,223442.589,3.0
sadsa;l,kisi1video3,604.46,289.36,223442.623,3.05
sadsa;l,kisi1video3,606.33,289.7,223442.657,3.084
sadsa;l,kisi1video3,606.33,289.7,223442.657,3.117
sadsa;l,kisi1video3,606.33,289.7,223442.657,3.167
sadsa;l,kisi1video3,608.5,290.02,223442.79,3.201
sadsa;l,kisi1video3,611.82,290.33,223442.822,3.234
sadsa;l,kisi1video3,612.95,290.14,223442.855,3.268
sadsa;l,kisi1video3,619.35,290.88,223442.889,3.317
sadsa;l,kisi1video3,628.08,291.33,223442.957,3.367
sadsa;l,kisi1video3,628.08,291.33,223442.957,3.401
sadsa;l,kisi1video3,628.08,291.33,223442.957,3.434
sadsa;l,kisi1video3,628.08,291.33,223442.957,3.484
sadsa;l,kisi1video3,629.42,290.03,223443.122,3.534
sadsa;l,kisi1video3,628.44,289.04,223443.156,3.584
sadsa;l,kisi1video3,631.28,288.53,223443.189,3.617
sadsa;l,kisi1video3,634.38,287.93,223443.222,3.651
sadsa;l,kisi1video3,636.94,287.23,223443.256,3.684
sadsa;l,kisi1video3,643.25,285.86,223443.322,3.734
sadsa;l,kisi1video3,647.81,285.37,223443.356,3.784
sadsa;l,kisi1video3,651.49,284.76,223443.389,3.817
sadsa;l,kisi1video3,659.86,283.73,223443.456,3.867
sadsa;l,kisi1video3,662.57,283.09,223443.489,3.917
sadsa;l,kisi1video3,669.0,282.08,223443.555,3.967
sadsa;l,kisi1video3,672.52,281.65,223443.589,4.0
sadsa;l,kisi1video3,675.88,281.29,223443.622,4.035
sadsa;l,kisi1video3,676.65,280.8,223443.656,4.084
sadsa;l,kisi1video3,680.24,280.58,223443.689,4.118
sadsa;l,kisi1video3,685.77,280.31,223443.755,4.167
sadsa;l,kisi1video3,689.34,280.12,223443.789,4.2
sadsa;l,kisi1video3,691.44,280.6,223443.822,4.25
sadsa;l,kisi1video3,691.85,279.81,223443.855,4.284
sadsa;l,kisi1video3,691.69,278.63,223443.888,4.318
sadsa;l,kisi1video3,685.72,274.75,223443.955,4.368
sadsa;l,kisi1video3,690.91,275.74,223443.989,4.417
sadsa;l,kisi1video3,690.91,275.74,223443.989,4.451
sadsa;l,kisi1video3,690.91,275.74,223443.989,4.484
sadsa;l,kisi1video3,692.45,275.93,223444.122,4.534
sadsa;l,kisi1video3,691.99,275.8,223444.155,4.584
sadsa;l,kisi1video3,691.21,275.64,223444.188,4.617
sadsa;l,kisi1video3,684.95,274.56,223444.255,4.667
sadsa;l,kisi1video3,682.38,274.1,223444.288,4.717
sadsa;l,kisi1video3,680.4,273.83,223444.322,4.751
sadsa;l,kisi1video3,668.97,272.21,223444.388,4.8
sadsa;l,kisi1video3,663.22,271.37,223444.421,4.834
sadsa;l,kisi1video3,657.34,270.57,223444.455,4.867
sadsa;l,kisi1video3,655.89,270.47,223444.488,4.901
sadsa;l,kisi1video3,651.52,271.23,223444.521,4.951
sadsa;l,kisi1video3,647.54,271.34,223444.555,4.986
sadsa;l,kisi1video3,647.54,271.34,223444.555,5.034
sadsa;l,kisi1video3,647.54,271.34,223444.555,5.084
sadsa;l,kisi1video3,639.86,270.82,223444.721,5.134
sadsa;l,kisi1video3,634.89,270.1,223444.796,5.168
sadsa;l,kisi1video3,0,0,223444.821,5.233
sadsa;l,kisi1video3,630.22,269.93,223444.854,5.27
sadsa;l,kisi1video3,626.26,269.31,223444.887,5.32
sadsa;l,kisi1video3,626.93,267.58,223444.954,5.369
sadsa;l,kisi1video3,624.34,267.03,223444.987,5.418
sadsa;l,kisi2video3,617.05,292.26,223447.019,0.044
sadsa;l,kisi2video3,614.33,291.93,223447.053,0.077
sadsa;l,kisi2video3,0,0,223447.086,0.111
sadsa;l,kisi2video3,0,0,223447.119,0.144
sadsa;l,kisi2video3,635.64,720,223447.186,0.194
sadsa;l,kisi2video3,610.5,415.71,223447.219,0.244
sadsa;l,kisi2video3,626.92,401.08,223447.286,0.295
sadsa;l,kisi2video3,620.85,382.13,223447.319,0.344
sadsa;l,kisi2video3,609.06,361.26,223447.352,0.378
sadsa;l,kisi2video3,620.19,350.78,223447.386,0.411
sadsa;l,kisi2video3,619.14,309.88,223447.452,0.46
sadsa;l,kisi2video3,628.34,296.36,223447.486,0.495
sadsa;l,kisi2video3,625.54,283.98,223447.518,0.528
sadsa;l,kisi2video3,616.81,272.25,223447.552,0.577
sadsa;l,kisi2video3,628.37,262.88,223447.585,0.611
sadsa;l,kisi2video3,717.17,188.83,223447.652,0.661
sadsa;l,kisi2video3,837.0,187.41,223447.686,0.711
sadsa;l,kisi2video3,837.93,186.25,223447.719,0.745
sadsa;l,kisi2video3,704.17,145.75,223447.785,0.794
sadsa;l,kisi2video3,733.14,152.11,223447.818,0.844
sadsa;l,kisi2video3,846.24,167.87,223447.852,0.878
sadsa;l,kisi2video3,760.57,152.74,223447.918,0.928
sadsa;l,kisi2video3,742.88,152.02,223447.951,0.961
